date,totalLinesAdded,totalLinesDeleted,aiLinesAdded,aiLinesDeleted,nonAiLinesAdded,nonAiLinesDeleted,totalTabsShown,totalTabsAccepted,totalApplies,totalAccepts,composerRequests,chatRequests,agentRequests,uniqueUsers
2025-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2025-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2025-08-29,0,0,0,0,0,0,0,0,0,0,262,10,302,17
2025-08-30,0,0,0,0,0,0,0,0,0,0,0,25,65,8
2025-08-31,19769,7144,9848,1988,9921,5156,32,2,152,149,0,7,110,4
2025-09-01,51098,11294,36736,3825,14362,7469,1224,391,458,422,0,26,324,15
2025-09-02,9415,1514,5044,1168,4371,346,1111,377,214,200,0,10,226,17
2025-09-03,47828,5986,19688,5107,28140,879,1686,478,574,534,0,7,404,16
2025-09-04,23690,4469,10229,2938,13461,1531,1775,558,330,294,0,11,289,17
2025-09-05,16957,2281,9375,1877,7582,404,1562,438,236,215,0,37,165,15
2025-09-06,6568,4442,2538,1670,4030,2772,537,275,101,84,0,0,115,3
2025-09-07,13859,7771,6530,1878,7329,5893,122,36,141,140,0,2,85,4
2025-09-08,11876,2097,4890,1030,6986,1067,537,159,203,194,0,13,97,12
2025-09-09,5225,1317,2729,993,2496,324,686,230,93,88,0,19,82,10
2025-09-10,12997,1343,2746,567,10251,776,736,261,176,152,0,2,165,10
2025-09-11,24917,4340,17647,2193,7270,2147,1348,404,564,520,0,0,271,13
2025-09-12,33898,2091,8137,1605,25761,486,1209,377,388,348,0,4,239,14
2025-09-13,7588,842,3213,710,4375,132,1616,508,148,134,0,26,104,5
2025-09-14,24,0,17,0,7,0,144,42,4,2,0,0,34,3
2025-09-15,6891,1253,1972,740,4919,513,882,211,211,192,0,20,119,10
2025-09-16,3446,667,1380,556,2066,111,645,115,73,65,0,27,64,7
2025-09-17,20270,2381,7704,2008,12566,373,748,203,541,502,0,2,341,12
2025-09-18,14858,3837,6600,2500,8258,1337,1279,379,350,302,0,1,231,16
2025-09-19,12821,3950,5982,1873,6839,2077,1263,350,382,367,0,2,167,17
2025-09-20,870,39,701,26,169,13,189,56,20,18,0,0,32,4
2025-09-21,483,176,209,8,274,168,208,56,5,5,0,4,6,4
2025-09-22,34674,4342,2179,291,32495,4051,848,173,136,112,0,0,79,12
2025-09-23,6954,927,3227,672,3727,255,1615,539,187,177,0,4,94,13
2025-09-24,16711,8364,2097,1341,14614,7023,736,187,137,94,0,7,124,11
2025-09-25,27229,3364,7093,2023,20136,1341,2272,667,387,371,0,9,248,13
2025-09-26,43638,6054,14420,3188,29218,2866,1074,270,456,444,0,10,280,14
2025-09-27,11830,1162,6985,982,4845,180,354,135,311,284,0,3,100,4
2025-09-28,3414,195,746,149,2668,46,885,277,36,34,0,4,8,4
2025-09-29,12024,2383,4240,865,7784,1518,1493,425,183,161,0,12,110,16
2025-09-30,17576,7212,2449,1217,15127,5995,1333,283,258,208,7,18,179,16
2025-10-01,18927,10117,5441,2750,13486,7367,1447,428,300,240,0,23,235,13
2025-10-02,12246,2521,2265,1114,9981,1407,1088,307,271,226,10,12,160,17
2025-10-03,17132,1354,3847,442,13285,912,389,106,143,105,14,1,99,15
2025-10-04,1406,304,485,186,921,118,131,66,83,72,0,3,30,5
2025-10-05,2810,849,34,2,2776,847,354,240,15,2,0,0,76,4
2025-10-06,8686,1285,2468,609,6218,676,1196,415,164,138,0,11,140,13
